"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Colorectal adenocarcinoma (MSS)","60-64 years","Male and female","87.818","0.23","87.368","88.27",145882,166118894
"Colorectal adenocarcinoma (MSS)","60-64 years","Male","107.625","0.367","106.906","108.346",85988,79896239
"Colorectal adenocarcinoma (MSS)","60-64 years","Female","69.464","0.284","68.909","70.023",59894,86222655
"Colorectal adenocarcinoma (MSS)","65-69 years","Male and female","123.727","0.305","123.129","124.327",164125,132650888
"Colorectal adenocarcinoma (MSS)","65-69 years","Male","150.838","0.492","149.876","151.805",94102,62386128
"Colorectal adenocarcinoma (MSS)","65-69 years","Female","99.656","0.377","98.919","100.397",70023,70264760
"Colorectal adenocarcinoma (MSS)","70-74 years","Male and female","159.428","0.393","158.658","160.201",164195,102989851
"Colorectal adenocarcinoma (MSS)","70-74 years","Male","191.767","0.64","190.516","193.025",89918,46889081
"Colorectal adenocarcinoma (MSS)","70-74 years","Female","132.399","0.486","131.449","133.355",74277,56100770
"Colorectal adenocarcinoma (MSS)","75-79 years","Male and female","206.369","0.517","205.356","207.385",159151,77119602
"Colorectal adenocarcinoma (MSS)","75-79 years","Male","242.149","0.852","240.482","243.824",80840,33384419
"Colorectal adenocarcinoma (MSS)","75-79 years","Female","179.057","0.64","177.805","180.316",78311,43735183
"Colorectal adenocarcinoma (MSS)","80-84 years","Male and female","250.464","0.676","249.141","251.792",137390,54854210
"Colorectal adenocarcinoma (MSS)","80-84 years","Male","287.388","1.143","285.152","289.637",63205,21992919
"Colorectal adenocarcinoma (MSS)","80-84 years","Female","225.752","0.829","224.13","227.382",74185,32861291
"Colorectal adenocarcinoma (MSS)","85-89 years","Male and female","276.089","0.914","274.3","277.887",91217,33038957
"Colorectal adenocarcinoma (MSS)","85-89 years","Male","312.459","1.627","309.279","315.663",36902,11810198
"Colorectal adenocarcinoma (MSS)","85-89 years","Female","255.856","1.098","253.709","258.017",54315,21228759
"Colorectal adenocarcinoma (MSS)","90+ years","Male and female","221.02","1.066","218.935","223.12",42961,19437568
"Colorectal adenocarcinoma (MSS)","90+ years","Male","265.415","2.173","261.171","269.709",14912,5618381
"Colorectal adenocarcinoma (MSS)","90+ years","Female","202.971","1.212","200.603","205.361",28049,13819187
"Colorectal adenocarcinoma (MSS)","Unknown","Male and female","~","~","~","~",0,0
"Colorectal adenocarcinoma (MSS)","Unknown","Male","~","~","~","~",0,0
"Colorectal adenocarcinoma (MSS)","Unknown","Female","~","~","~","~",0,0
"Colorectal carcinoma (MSI-high, medullary subtype)","00 years","Male and female","0","~","0","0.009",0,43061201
"Colorectal carcinoma (MSI-high, medullary subtype)","00 years","Male","0","~","0","0.017",0,22011981
"Colorectal carcinoma (MSI-high, medullary subtype)","00 years","Female","0","~","0","0.018",0,21049220
"Colorectal carcinoma (MSI-high, medullary subtype)","01-04 years","Male and female","0","~","0","0.002",0,172923682
"Colorectal carcinoma (MSI-high, medullary subtype)","01-04 years","Male","0","~","0","0.004",0,88392817
"Colorectal carcinoma (MSI-high, medullary subtype)","01-04 years","Female","0","~","0","0.004",0,84530865
"Colorectal carcinoma (MSI-high, medullary subtype)","05-09 years","Male and female","0","~","0","0.002",0,219155625
