"Site","Age","Sex","Incidence","SE","LowerCI","UpperCI","Count","Population"
"Diffuse large B-cell lymphoma (DLBCL)","90+ years","Female","29.387","0.461","28.49","30.305",4061,13819187
"Diffuse large B-cell lymphoma (DLBCL)","Unknown","Male and female","~","~","~","~",0,0
"Diffuse large B-cell lymphoma (DLBCL)","Unknown","Male","~","~","~","~",0,0
"Diffuse large B-cell lymphoma (DLBCL)","Unknown","Female","~","~","~","~",0,0
"Follicular lymphoma","00 years","Male and female","0.014","0.006","0.005","0.03",6,43061201
"Follicular lymphoma","00 years","Male","0.009","0.006","0.001","0.033",2,22011981
"Follicular lymphoma","00 years","Female","0.019","0.01","0.005","0.049",4,21049220
"Follicular lymphoma","01-04 years","Male and female","0.008","0.002","0.004","0.013",13,172923682
"Follicular lymphoma","01-04 years","Male","0.014","0.004","0.007","0.024",12,88392817
"Follicular lymphoma","01-04 years","Female","0.001","0.001","0","0.007",1,84530865
"Follicular lymphoma","05-09 years","Male and female","0.018","0.003","0.013","0.025",40,219155625
"Follicular lymphoma","05-09 years","Male","0.032","0.005","0.023","0.044",36,112012583
"Follicular lymphoma","05-09 years","Female","0.004","0.002","0.001","0.01",4,107143042
"Follicular lymphoma","10-14 years","Male and female","0.044","0.004","0.036","0.053",100,228557404
"Follicular lymphoma","10-14 years","Male","0.071","0.008","0.057","0.088",83,116939349
"Follicular lymphoma","10-14 years","Female","0.015","0.004","0.009","0.024",17,111618055
"Follicular lymphoma","15-19 years","Male and female","0.071","0.006","0.061","0.083",163,229160336
"Follicular lymphoma","15-19 years","Male","0.12","0.01","0.101","0.141",141,117683875
"Follicular lymphoma","15-19 years","Female","0.02","0.004","0.012","0.03",22,111476461
"Follicular lymphoma","20-24 years","Male and female","0.121","0.007","0.107","0.136",278,229290703
"Follicular lymphoma","20-24 years","Male","0.145","0.011","0.124","0.168",170,117600125
"Follicular lymphoma","20-24 years","Female","0.097","0.009","0.079","0.117",108,111690578
"Follicular lymphoma","25-29 years","Male and female","0.251","0.01","0.231","0.272",581,231301985
"Follicular lymphoma","25-29 years","Male","0.281","0.015","0.251","0.313",329,117171061
"Follicular lymphoma","25-29 years","Female","0.221","0.014","0.194","0.25",252,114130924
"Follicular lymphoma","30-34 years","Male and female","0.603","0.016","0.572","0.635",1387,230073908
"Follicular lymphoma","30-34 years","Male","0.653","0.024","0.607","0.701",757,115938128
"Follicular lymphoma","30-34 years","Female","0.552","0.022","0.51","0.597",630,114135780
"Follicular lymphoma","35-39 years","Male and female","1.231","0.023","1.186","1.278",2817,228762701
"Follicular lymphoma","35-39 years","Male","1.3","0.034","1.235","1.367",1491,114709436
"Follicular lymphoma","35-39 years","Female","1.163","0.032","1.101","1.227",1326,114053265
"Follicular lymphoma","40-44 years","Male and female","2.136","0.031","2.077","2.197",4870,227960237
"Follicular lymphoma","40-44 years","Male","2.309","0.045","2.222","2.399",2624,113631501
"Follicular lymphoma","40-44 years","Female","1.965","0.041","1.884","2.047",2246,114328736
"Follicular lymphoma","45-49 years","Male and female","3.394","0.039","3.318","3.471",7635,224982270
"Follicular lymphoma","45-49 years","Male","3.621","0.057","3.51","3.735",4042,111622077
"Follicular lymphoma","45-49 years","Female","3.17","0.053","3.067","3.275",3593,113360193
"Follicular lymphoma","50-54 years","Male and female","5.1","0.049","5.006","5.196",11056,216770042
"Follicular lymphoma","50-54 years","Male","5.232","0.07","5.096","5.371",5591,106853315
"Follicular lymphoma","50-54 years","Female","4.972","0.067","4.841","5.106",5465,109916727
"Follicular lymphoma","55-59 years","Male and female","7.036","0.06","6.92","7.154",13874,197177690
"Follicular lymphoma","55-59 years","Male","7.42","0.088","7.249","7.594",7136,96171628
"Follicular lymphoma","55-59 years","Female","6.671","0.081","6.513","6.832",6738,101006062
"Follicular lymphoma","60-64 years","Male and female","9.145","0.074","9","9.292",15192,166118894
"Follicular lymphoma","60-64 years","Male","9.641","0.11","9.427","9.859",7703,79896239
"Follicular lymphoma","60-64 years","Female","8.686","0.1","8.49","8.885",7489,86222655
"Follicular lymphoma","65-69 years","Male and female","12.095","0.095","11.908","12.284",16044,132650888
"Follicular lymphoma","65-69 years","Male","13.049","0.145","12.767","13.336",8141,62386128
"Follicular lymphoma","65-69 years","Female","11.247","0.127","11.001","11.498",7903,70264760
"Follicular lymphoma","70-74 years","Male and female","14.49","0.119","14.258","14.724",14923,102989851
"Follicular lymphoma","70-74 years","Male","15.641","0.183","15.285","16.003",7334,46889081
"Follicular lymphoma","70-74 years","Female","13.527","0.155","13.225","13.835",7589,56100770
"Follicular lymphoma","75-79 years","Male and female","16.286","0.145","16.003","16.574",12560,77119602
"Follicular lymphoma","75-79 years","Male","18.326","0.234","17.87","18.791",6118,33384419
"Follicular lymphoma","75-79 years","Female","14.73","0.184","14.372","15.094",6442,43735183
"Follicular lymphoma","80-84 years","Male and female","16.724","0.175","16.384","17.07",9174,54854210
"Follicular lymphoma","80-84 years","Male","19.443","0.297","18.864","20.034",4276,21992919
"Follicular lymphoma","80-84 years","Female","14.905","0.213","14.491","15.328",4898,32861291
"Follicular lymphoma","85-89 years","Male and female","14.925","0.213","14.511","15.347",4931,33038957
"Follicular lymphoma","85-89 years","Male","18.01","0.391","17.253","18.792",2127,11810198
"Follicular lymphoma","85-89 years","Female","13.208","0.249","12.724","13.707",2804,21228759
"Follicular lymphoma","90+ years","Male and female","8.736","0.212","8.325","9.161",1698,19437568
"Follicular lymphoma","90+ years","Male","11.32","0.449","10.457","12.235",636,5618381
"Follicular lymphoma","90+ years","Female","7.685","0.236","7.23","8.161",1062,13819187
"Follicular lymphoma","Unknown","Male and female","~","~","~","~",0,0
"Follicular lymphoma","Unknown","Male","~","~","~","~",0,0
"Follicular lymphoma","Unknown","Female","~","~","~","~",0,0
"Chronic lymphocytic leukemia (CLL)","00 years","Male and female","0.012","0.005","0.004","0.027",5,43061201
"Chronic lymphocytic leukemia (CLL)","00 years","Male","0.014","0.008","0.003","0.04",3,22011981
"Chronic lymphocytic leukemia (CLL)","00 years","Female","0.01","0.007","0.001","0.034",2,21049220
"Chronic lymphocytic leukemia (CLL)","01-04 years","Male and female","0.008","0.002","0.004","0.013",13,172923682
"Chronic lymphocytic leukemia (CLL)","01-04 years","Male","0.005","0.002","0.001","0.012",4,88392817
"Chronic lymphocytic leukemia (CLL)","01-04 years","Female","0.011","0.004","0.005","0.02",9,84530865
"Chronic lymphocytic leukemia (CLL)","05-09 years","Male and female","0.005","0.002","0.003","0.01",12,219155625
"Chronic lymphocytic leukemia (CLL)","05-09 years","Male","0.006","0.002","0.003","0.013",7,112012583
"Chronic lymphocytic leukemia (CLL)","05-09 years","Female","0.005","0.002","0.002","0.011",5,107143042
"Chronic lymphocytic leukemia (CLL)","10-14 years","Male and female","0.004","0.001","0.002","0.008",10,228557404
"Chronic lymphocytic leukemia (CLL)","10-14 years","Male","0.003","0.001","0.001","0.007",3,116939349
"Chronic lymphocytic leukemia (CLL)","10-14 years","Female","0.006","0.002","0.003","0.013",7,111618055
"Chronic lymphocytic leukemia (CLL)","15-19 years","Male and female","0.014","0.002","0.009","0.019",31,229160336
"Chronic lymphocytic leukemia (CLL)","15-19 years","Male","0.014","0.004","0.008","0.023",17,117683875
"Chronic lymphocytic leukemia (CLL)","15-19 years","Female","0.013","0.003","0.007","0.021",14,111476461
"Chronic lymphocytic leukemia (CLL)","20-24 years","Male and female","0.02","0.003","0.015","0.027",46,229290703
"Chronic lymphocytic leukemia (CLL)","20-24 years","Male","0.022","0.004","0.014","0.032",26,117600125
"Chronic lymphocytic leukemia (CLL)","20-24 years","Female","0.018","0.004","0.011","0.028",20,111690578
"Chronic lymphocytic leukemia (CLL)","25-29 years","Male and female","0.053","0.005","0.044","0.063",123,231301985
"Chronic lymphocytic leukemia (CLL)","25-29 years","Male","0.062","0.007","0.049","0.078",73,117171061
"Chronic lymphocytic leukemia (CLL)","25-29 years","Female","0.044","0.006","0.033","0.058",50,114130924
"Chronic lymphocytic leukemia (CLL)","30-34 years","Male and female","0.15","0.008","0.135","0.167",345,230073908
"Chronic lymphocytic leukemia (CLL)","30-34 years","Male","0.185","0.013","0.161","0.211",214,115938128
"Chronic lymphocytic leukemia (CLL)","30-34 years","Female","0.115","0.01","0.096","0.136",131,114135780
"Chronic lymphocytic leukemia (CLL)","35-39 years","Male and female","0.413","0.013","0.387","0.44",945,228762701
"Chronic lymphocytic leukemia (CLL)","35-39 years","Male","0.528","0.021","0.487","0.572",606,114709436
"Chronic lymphocytic leukemia (CLL)","35-39 years","Female","0.297","0.016","0.266","0.331",339,114053265
"Chronic lymphocytic leukemia (CLL)","40-44 years","Male and female","1.083","0.022","1.04","1.126",2468,227960237
"Chronic lymphocytic leukemia (CLL)","40-44 years","Male","1.376","0.035","1.309","1.446",1564,113631501
"Chronic lymphocytic leukemia (CLL)","40-44 years","Female","0.791","0.026","0.74","0.844",904,114328736
"Chronic lymphocytic leukemia (CLL)","45-49 years","Male and female","2.509","0.033","2.444","2.575",5644,224982270
"Chronic lymphocytic leukemia (CLL)","45-49 years","Male","3.228","0.054","3.123","3.335",3603,111622077
"Chronic lymphocytic leukemia (CLL)","45-49 years","Female","1.8","0.04","1.723","1.88",2041,113360193
"Chronic lymphocytic leukemia (CLL)","50-54 years","Male and female","5.184","0.049","5.088","5.281",11237,216770042
"Chronic lymphocytic leukemia (CLL)","50-54 years","Male","6.684","0.079","6.53","6.841",7142,106853315
"Chronic lymphocytic leukemia (CLL)","50-54 years","Female","3.726","0.058","3.612","3.841",4095,109916727
"Chronic lymphocytic leukemia (CLL)","55-59 years","Male and female","9.238","0.068","9.104","9.373",18215,197177690
"Chronic lymphocytic leukemia (CLL)","55-59 years","Male","12.157","0.112","11.938","12.38",11692,96171628
"Chronic lymphocytic leukemia (CLL)","55-59 years","Female","6.458","0.08","6.302","6.617",6523,101006062
"Chronic lymphocytic leukemia (CLL)","60-64 years","Male and female","14.653","0.094","14.469","14.838",24341,166118894
"Chronic lymphocytic leukemia (CLL)","60-64 years","Male","19.414","0.156","19.11","19.722",15511,79896239
"Chronic lymphocytic leukemia (CLL)","60-64 years","Female","10.241","0.109","10.028","10.457",8830,86222655
"Chronic lymphocytic leukemia (CLL)","65-69 years","Male and female","21.964","0.129","21.713","22.218",29136,132650888
"Chronic lymphocytic leukemia (CLL)","65-69 years","Male","29.159","0.216","28.737","29.586",18191,62386128
"Chronic lymphocytic leukemia (CLL)","65-69 years","Female","15.577","0.149","15.286","15.871",10945,70264760
"Chronic lymphocytic leukemia (CLL)","70-74 years","Male and female","28.597","0.167","28.271","28.925",29452,102989851
"Chronic lymphocytic leukemia (CLL)","70-74 years","Male","38.098","0.285","37.542","38.661",17864,46889081
"Chronic lymphocytic leukemia (CLL)","70-74 years","Female","20.656","0.192","20.281","21.035",11588,56100770
"Chronic lymphocytic leukemia (CLL)","75-79 years","Male and female","35.921","0.216","35.499","36.346",27702,77119602
"Chronic lymphocytic leukemia (CLL)","75-79 years","Male","48.684","0.382","47.939","49.439",16253,33384419
"Chronic lymphocytic leukemia (CLL)","75-79 years","Female","26.178","0.245","25.701","26.662",11449,43735183
"Chronic lymphocytic leukemia (CLL)","80-84 years","Male and female","41.131","0.274","40.596","41.671",22562,54854210
"Chronic lymphocytic leukemia (CLL)","80-84 years","Male","57.573","0.512","56.575","58.585",12662,21992919
"Chronic lymphocytic leukemia (CLL)","80-84 years","Female","30.127","0.303","29.536","30.726",9900,32861291
"Chronic lymphocytic leukemia (CLL)","85-89 years","Male and female","44.932","0.369","44.212","45.661",14845,33038957
"Chronic lymphocytic leukemia (CLL)","85-89 years","Male","64.012","0.736","62.578","65.472",7560,11810198
"Chronic lymphocytic leukemia (CLL)","85-89 years","Female","34.317","0.402","33.533","35.114",7285,21228759
"Chronic lymphocytic leukemia (CLL)","90+ years","Male and female","43.555","0.473","42.632","44.493",8466,19437568
"Chronic lymphocytic leukemia (CLL)","90+ years","Male","66.104","1.085","63.995","68.265",3714,5618381
"Chronic lymphocytic leukemia (CLL)","90+ years","Female","34.387","0.499","33.416","35.379",4752,13819187
"Chronic lymphocytic leukemia (CLL)","Unknown","Male and female","~","~","~","~",0,0
"Chronic lymphocytic leukemia (CLL)","Unknown","Male","~","~","~","~",0,0
"Chronic lymphocytic leukemia (CLL)","Unknown","Female","~","~","~","~",0,0
"Acute myeloid leukemia (AML)","00 years","Male and female","1.196","0.053","1.095","1.304",515,43061201
"Acute myeloid leukemia (AML)","00 years","Male","1.177","0.073","1.038","1.329",259,22011981
"Acute myeloid leukemia (AML)","00 years","Female","1.216","0.076","1.072","1.375",256,21049220
"Acute myeloid leukemia (AML)","01-04 years","Male and female","0.651","0.019","0.613","0.69",1125,172923682
"Acute myeloid leukemia (AML)","01-04 years","Male","0.683","0.028","0.63","0.74",604,88392817
"Acute myeloid leukemia (AML)","01-04 years","Female","0.616","0.027","0.565","0.672",521,84530865
"Acute myeloid leukemia (AML)","05-09 years","Male and female","0.376","0.013","0.351","0.403",824,219155625
"Acute myeloid leukemia (AML)","05-09 years","Male","0.414","0.019","0.377","0.454",464,112012583
"Acute myeloid leukemia (AML)","05-09 years","Female","0.336","0.018","0.302","0.373",360,107143042
"Acute myeloid leukemia (AML)","10-14 years","Male and female","0.616","0.016","0.584","0.649",1408,228557404
"Acute myeloid leukemia (AML)","10-14 years","Male","0.647","0.024","0.602","0.695",757,116939349
"Acute myeloid leukemia (AML)","10-14 years","Female","0.583","0.023","0.539","0.63",651,111618055
"Acute myeloid leukemia (AML)","15-19 years","Male and female","0.822","0.019","0.785","0.86",1883,229160336
"Acute myeloid leukemia (AML)","15-19 years","Male","0.829","0.027","0.778","0.883",976,117683875
"Acute myeloid leukemia (AML)","15-19 years","Female","0.814","0.027","0.762","0.868",907,111476461
"Acute myeloid leukemia (AML)","20-24 years","Male and female","0.94","0.02","0.901","0.98",2155,229290703
"Acute myeloid leukemia (AML)","20-24 years","Male","0.918","0.028","0.864","0.975",1080,117600125
"Acute myeloid leukemia (AML)","20-24 years","Female","0.962","0.029","0.906","1.022",1075,111690578
"Acute myeloid leukemia (AML)","25-29 years","Male and female","1.024","0.021","0.983","1.066",2368,231301985
"Acute myeloid leukemia (AML)","25-29 years","Male","1.022","0.03","0.965","1.081",1197,117171061
"Acute myeloid leukemia (AML)","25-29 years","Female","1.026","0.03","0.968","1.087",1171,114130924
"Acute myeloid leukemia (AML)","30-34 years","Male and female","1.211","0.023","1.166","1.257",2786,230073908
"Acute myeloid leukemia (AML)","30-34 years","Male","1.205","0.032","1.143","1.27",1397,115938128
"Acute myeloid leukemia (AML)","30-34 years","Female","1.217","0.033","1.154","1.283",1389,114135780
"Acute myeloid leukemia (AML)","35-39 years","Male and female","1.415","0.025","1.367","1.465",3237,228762701
"Acute myeloid leukemia (AML)","35-39 years","Male","1.378","0.035","1.311","1.448",1581,114709436
"Acute myeloid leukemia (AML)","35-39 years","Female","1.452","0.036","1.383","1.524",1656,114053265
"Acute myeloid leukemia (AML)","40-44 years","Male and female","1.761","0.028","1.707","1.816",4014,227960237
"Acute myeloid leukemia (AML)","40-44 years","Male","1.743","0.039","1.667","1.822",1981,113631501
"Acute myeloid leukemia (AML)","40-44 years","Female","1.778","0.039","1.702","1.857",2033,114328736
"Acute myeloid leukemia (AML)","45-49 years","Male and female","2.318","0.032","2.255","2.381",5214,224982270
"Acute myeloid leukemia (AML)","45-49 years","Male","2.282","0.045","2.194","2.372",2547,111622077
"Acute myeloid leukemia (AML)","45-49 years","Female","2.353","0.046","2.264","2.444",2667,113360193
"Acute myeloid leukemia (AML)","50-54 years","Male and female","3.145","0.038","3.071","3.221",6818,216770042
"Acute myeloid leukemia (AML)","50-54 years","Male","3.277","0.055","3.17","3.388",3502,106853315
"Acute myeloid leukemia (AML)","50-54 years","Female","3.017","0.052","2.915","3.121",3316,109916727
"Acute myeloid leukemia (AML)","55-59 years","Male and female","4.411","0.047","4.319","4.504",8697,197177690
"Acute myeloid leukemia (AML)","55-59 years","Male","4.842","0.071","4.704","4.983",4657,96171628
"Acute myeloid leukemia (AML)","55-59 years","Female","4","0.063","3.877","4.125",4040,101006062
"Acute myeloid leukemia (AML)","60-64 years","Male and female","6.582","0.063","6.459","6.707",10934,166118894
"Acute myeloid leukemia (AML)","60-64 years","Male","7.59","0.097","7.4","7.783",6064,79896239
"Acute myeloid leukemia (AML)","60-64 years","Female","5.648","0.081","5.491","5.809",4870,86222655
"Acute myeloid leukemia (AML)","65-69 years","Male and female","9.995","0.087","9.826","10.167",13259,132650888
"Acute myeloid leukemia (AML)","65-69 years","Male","12.001","0.139","11.731","12.276",7487,62386128
"Acute myeloid leukemia (AML)","65-69 years","Female","8.215","0.108","8.004","8.429",5772,70264760
"Acute myeloid leukemia (AML)","70-74 years","Male and female","14.466","0.119","14.235","14.701",14899,102989851
"Acute myeloid leukemia (AML)","70-74 years","Male","18.422","0.198","18.036","18.815",8638,46889081
"Acute myeloid leukemia (AML)","70-74 years","Female","11.16","0.141","10.886","11.44",6261,56100770
"Acute myeloid leukemia (AML)","75-79 years","Male and female","19.503","0.159","19.193","19.818",15041,77119602
"Acute myeloid leukemia (AML)","75-79 years","Male","25.805","0.278","25.263","26.356",8615,33384419
"Acute myeloid leukemia (AML)","75-79 years","Female","14.693","0.183","14.336","15.057",6426,43735183
"Acute myeloid leukemia (AML)","80-84 years","Male and female","24.046","0.209","23.637","24.459",13190,54854210
"Acute myeloid leukemia (AML)","80-84 years","Male","33.247","0.389","32.489","34.018",7312,21992919
"Acute myeloid leukemia (AML)","80-84 years","Female","17.887","0.233","17.433","18.351",5878,32861291
"Acute myeloid leukemia (AML)","85-89 years","Male and female","26.087","0.281","25.54","26.644",8619,33038957
"Acute myeloid leukemia (AML)","85-89 years","Male","36.401","0.555","35.321","37.505",4299,11810198
"Acute myeloid leukemia (AML)","85-89 years","Female","20.35","0.31","19.747","20.966",4320,21228759
"Acute myeloid leukemia (AML)","90+ years","Male and female","21.021","0.329","20.381","21.676",4086,19437568
"Acute myeloid leukemia (AML)","90+ years","Male","31.201","0.745","29.758","32.697",1753,5618381
"Acute myeloid leukemia (AML)","90+ years","Female","16.882","0.35","16.204","17.582",2333,13819187
"Acute myeloid leukemia (AML)","Unknown","Male and female","~","~","~","~",0,0
"Acute myeloid leukemia (AML)","Unknown","Male","~","~","~","~",0,0
"Acute myeloid leukemia (AML)","Unknown","Female","~","~","~","~",0,0
"Chronic myeloid leukemia (CML)","00 years","Male and female","0.012","0.005","0.004","0.027",5,43061201
"Chronic myeloid leukemia (CML)","00 years","Male","0.009","0.006","0.001","0.033",2,22011981
"Chronic myeloid leukemia (CML)","00 years","Female","0.014","0.008","0.003","0.042",3,21049220
"Chronic myeloid leukemia (CML)","01-04 years","Male and female","0.038","0.005","0.029","0.048",65,172923682
"Chronic myeloid leukemia (CML)","01-04 years","Male","0.042","0.007","0.029","0.058",37,88392817
"Chronic myeloid leukemia (CML)","01-04 years","Female","0.033","0.006","0.022","0.048",28,84530865
"Chronic myeloid leukemia (CML)","05-09 years","Male and female","0.053","0.005","0.044","0.064",117,219155625
"Chronic myeloid leukemia (CML)","05-09 years","Male","0.052","0.007","0.039","0.067",58,112012583
"Chronic myeloid leukemia (CML)","05-09 years","Female","0.055","0.007","0.042","0.071",59,107143042
"Chronic myeloid leukemia (CML)","10-14 years","Male and female","0.14","0.008","0.126","0.157",321,228557404
"Chronic myeloid leukemia (CML)","10-14 years","Male","0.154","0.011","0.132","0.178",180,116939349
"Chronic myeloid leukemia (CML)","10-14 years","Female","0.126","0.011","0.106","0.149",141,111618055
"Chronic myeloid leukemia (CML)","15-19 years","Male and female","0.267","0.011","0.246","0.289",612,229160336
"Chronic myeloid leukemia (CML)","15-19 years","Male","0.315","0.016","0.284","0.349",371,117683875
"Chronic myeloid leukemia (CML)","15-19 years","Female","0.216","0.014","0.19","0.245",241,111476461
"Chronic myeloid leukemia (CML)","20-24 years","Male and female","0.481","0.014","0.453","0.511",1104,229290703
"Chronic myeloid leukemia (CML)","20-24 years","Male","0.568","0.022","0.526","0.613",668,117600125
"Chronic myeloid leukemia (CML)","20-24 years","Female","0.39","0.019","0.355","0.429",436,111690578
"Chronic myeloid leukemia (CML)","25-29 years","Male and female","0.673","0.017","0.64","0.707",1557,231301985
"Chronic myeloid leukemia (CML)","25-29 years","Male","0.843","0.027","0.791","0.897",988,117171061
"Chronic myeloid leukemia (CML)","25-29 years","Female","0.499","0.021","0.458","0.541",569,114130924
"Chronic myeloid leukemia (CML)","30-34 years","Male and female","0.894","0.02","0.856","0.934",2057,230073908
"Chronic myeloid leukemia (CML)","30-34 years","Male","1.064","0.03","1.006","1.125",1234,115938128
"Chronic myeloid leukemia (CML)","30-34 years","Female","0.721","0.025","0.673","0.772",823,114135780
"Chronic myeloid leukemia (CML)","35-39 years","Male and female","1.122","0.022","1.079","1.166",2567,228762701
"Chronic myeloid leukemia (CML)","35-39 years","Male","1.338","0.034","1.272","1.407",1535,114709436
"Chronic myeloid leukemia (CML)","35-39 years","Female","0.905","0.028","0.85","0.962",1032,114053265
"Chronic myeloid leukemia (CML)","40-44 years","Male and female","1.313","0.024","1.267","1.361",2994,227960237
"Chronic myeloid leukemia (CML)","40-44 years","Male","1.523","0.037","1.452","1.597",1731,113631501
"Chronic myeloid leukemia (CML)","40-44 years","Female","1.105","0.031","1.045","1.167",1263,114328736
"Chronic myeloid leukemia (CML)","45-49 years","Male and female","1.607","0.027","1.555","1.66",3615,224982270
"Chronic myeloid leukemia (CML)","45-49 years","Male","1.849","0.041","1.77","1.931",2064,111622077
"Chronic myeloid leukemia (CML)","45-49 years","Female","1.368","0.035","1.301","1.438",1551,113360193
"Chronic myeloid leukemia (CML)","50-54 years","Male and female","1.911","0.03","1.853","1.97",4143,216770042
"Chronic myeloid leukemia (CML)","50-54 years","Male","2.213","0.046","2.125","2.304",2365,106853315
"Chronic myeloid leukemia (CML)","50-54 years","Female","1.618","0.038","1.543","1.695",1778,109916727
"Chronic myeloid leukemia (CML)","55-59 years","Male and female","2.278","0.034","2.212","2.345",4491,197177690
"Chronic myeloid leukemia (CML)","55-59 years","Male","2.54","0.051","2.441","2.643",2443,96171628
"Chronic myeloid leukemia (CML)","55-59 years","Female","2.028","0.045","1.941","2.117",2048,101006062
"Chronic myeloid leukemia (CML)","60-64 years","Male and female","2.737","0.041","2.658","2.817",4546,166118894
"Chronic myeloid leukemia (CML)","60-64 years","Male","3.307","0.064","3.182","3.435",2642,79896239
"Chronic myeloid leukemia (CML)","60-64 years","Female","2.208","0.051","2.11","2.31",1904,86222655
"Chronic myeloid leukemia (CML)","65-69 years","Male and female","3.516","0.051","3.416","3.618",4664,132650888
"Chronic myeloid leukemia (CML)","65-69 years","Male","4.305","0.083","4.144","4.471",2686,62386128
"Chronic myeloid leukemia (CML)","65-69 years","Female","2.815","0.063","2.692","2.942",1978,70264760
"Chronic myeloid leukemia (CML)","70-74 years","Male and female","4.182","0.064","4.058","4.309",4307,102989851
"Chronic myeloid leukemia (CML)","70-74 years","Male","5.289","0.106","5.083","5.501",2480,46889081
"Chronic myeloid leukemia (CML)","70-74 years","Female","3.257","0.076","3.109","3.409",1827,56100770
"Chronic myeloid leukemia (CML)","75-79 years","Male and female","5.123","0.082","4.965","5.286",3951,77119602
"Chronic myeloid leukemia (CML)","75-79 years","Male","6.644","0.141","6.37","6.926",2218,33384419
"Chronic myeloid leukemia (CML)","75-79 years","Female","3.962","0.095","3.778","4.154",1733,43735183
"Chronic myeloid leukemia (CML)","80-84 years","Male and female","5.916","0.104","5.714","6.123",3245,54854210
"Chronic myeloid leukemia (CML)","80-84 years","Male","7.907","0.19","7.54","8.288",1739,21992919
"Chronic myeloid leukemia (CML)","80-84 years","Female","4.583","0.118","4.354","4.82",1506,32861291
"Chronic myeloid leukemia (CML)","85-89 years","Male and female","6.438","0.14","6.167","6.717",2127,33038957
"Chronic myeloid leukemia (CML)","85-89 years","Male","8.459","0.268","7.942","9",999,11810198
"Chronic myeloid leukemia (CML)","85-89 years","Female","5.314","0.158","5.008","5.633",1128,21228759
"Chronic myeloid leukemia (CML)","90+ years","Male and female","5.922","0.175","5.584","6.274",1151,19437568
"Chronic myeloid leukemia (CML)","90+ years","Male","8.739","0.394","7.983","9.547",491,5618381
"Chronic myeloid leukemia (CML)","90+ years","Female","4.776","0.186","4.419","5.155",660,13819187
"Chronic myeloid leukemia (CML)","Unknown","Male and female","~","~","~","~",0,0
"Chronic myeloid leukemia (CML)","Unknown","Male","~","~","~","~",0,0
"Chronic myeloid leukemia (CML)","Unknown","Female","~","~","~","~",0,0
"Multiple myeloma","00 years","Male and female","0.005","0.003","0.001","0.017",2,43061201
"Multiple myeloma","00 years","Male","0.009","0.006","0.001","0.033",2,22011981
"Multiple myeloma","00 years","Female","0","~","0","0.018",0,21049220
"Multiple myeloma","01-04 years","Male and female","0.001","0.001","0","0.003",1,172923682
"Multiple myeloma","01-04 years","Male","0.001","0.001","0","0.006",1,88392817
"Multiple myeloma","01-04 years","Female","0","~","0","0.004",0,84530865
"Multiple myeloma","05-09 years","Male and female","0.001","0.001","0","0.003",2,219155625
"Multiple myeloma","05-09 years","Male","0.002","0.001","0","0.006",2,112012583
"Multiple myeloma","05-09 years","Female","0","~","0","0.003",0,107143042
"Multiple myeloma","10-14 years","Male and female","0.001","0.001","0","0.004",3,228557404
"Multiple myeloma","10-14 years","Male","0","~","0","0.003",0,116939349
"Multiple myeloma","10-14 years","Female","0.003","0.002","0.001","0.008",3,111618055
"Multiple myeloma","15-19 years","Male and female","0.005","0.001","0.002","0.009",11,229160336
"Multiple myeloma","15-19 years","Male","0.006","0.002","0.002","0.012",7,117683875
"Multiple myeloma","15-19 years","Female","0.004","0.002","0.001","0.009",4,111476461
"Multiple myeloma","20-24 years","Male and female","0.021","0.003","0.016","0.028",49,229290703
"Multiple myeloma","20-24 years","Male","0.028","0.005","0.019","0.039",33,117600125
"Multiple myeloma","20-24 years","Female","0.014","0.004","0.008","0.023",16,111690578
"Multiple myeloma","25-29 years","Male and female","0.074","0.006","0.064","0.086",172,231301985
"Multiple myeloma","25-29 years","Male","0.079","0.008","0.063","0.096",92,117171061
"Multiple myeloma","25-29 years","Female","0.07","0.008","0.056","0.087",80,114130924
"Multiple myeloma","30-34 years","Male and female","0.284","0.011","0.262","0.306",653,230073908
"Multiple myeloma","30-34 years","Male","0.334","0.017","0.301","0.369",387,115938128
"Multiple myeloma","30-34 years","Female","0.233","0.014","0.206","0.263",266,114135780
"Multiple myeloma","35-39 years","Male and female","0.809","0.019","0.773","0.847",1851,228762701
"Multiple myeloma","35-39 years","Male","0.867","0.027","0.814","0.923",995,114709436
"Multiple myeloma","35-39 years","Female","0.751","0.026","0.701","0.803",856,114053265
"Multiple myeloma","40-44 years","Male and female","1.868","0.029","1.812","1.925",4258,227960237
"Multiple myeloma","40-44 years","Male","2.02","0.042","1.938","2.104",2295,113631501
"Multiple myeloma","40-44 years","Female","1.717","0.039","1.642","1.795",1963,114328736
"Multiple myeloma","45-49 years","Male and female","3.781","0.041","3.701","3.862",8507,224982270
"Multiple myeloma","45-49 years","Male","4.139","0.061","4.02","4.26",4620,111622077
"Multiple myeloma","45-49 years","Female","3.429","0.055","3.322","3.538",3887,113360193
"Multiple myeloma","50-54 years","Male and female","6.764","0.056","6.655","6.875",14663,216770042
"Multiple myeloma","50-54 years","Male","7.635","0.085","7.47","7.802",8158,106853315
"Multiple myeloma","50-54 years","Female","5.918","0.073","5.775","6.064",6505,109916727
"Multiple myeloma","55-59 years","Male and female","10.965","0.075","10.819","11.112",21620,197177690
"Multiple myeloma","55-59 years","Male","12.789","0.115","12.564","13.017",12299,96171628
